sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi
1,norne,1.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1198635801579149,0.0005849,1500.0,27458.752443801357,16754.91228939821,0.0,27458.752443801357,16754912.289398208,28.902515949617783,0.0,4124.018038259295
1,norne,4.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.119866896311592,0.0005849,1500.0,27461.894277989693,16749.221110142837,0.0,109844.43220657377,67002574.51624338,114.7346047928674,0.0,4121.003353098413
1,norne,8.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1198707782222168,0.0005849,1500.0,27464.778131658164,16743.479166054083,0.0,219703.5570179931,133976491.18045972,229.1049848562403,0.0,4117.474343439374
1,norne,16.5,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.11988025343389,0.0005849,1500.0,35642.981737484064,21712.130272993967,0.0,522668.8772170343,318529606.2259918,545.2843935973244,0.0,4108.860514645374
1,norne,25.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.119888981281609,0.0005849,1500.0,35647.45647102503,21703.041160652057,0.0,825672.3048242953,503005443.9521176,862.3210021200897,0.0,4100.926107628198
1,norne,41.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1199114489409216,0.0005849,1500.0,48505.06430596437,29501.598872513074,0.0,1601753.2845805786,975031025.9123268,1560.150150484124,0.0,4080.5009627986447
1,norne,56.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1199419180199268,0.0005849,1500.0,71388.41859571383,43393.73101662578,0.0,2672579.710933726,1625936977.918713,2413.866715272628,0.0,4052.8018000665897
1,norne,87.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1193679024674283,0.0005890023129863,1493.0469271417096,106294.66939240166,64514.66066156172,0.0,5967714.277826377,3625891590.857126,5725.073752638454,0.0,3974.7160986971257
1,norne,115.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1193935854958323,0.000588835630132,1493.3294404541543,8078.491063702075,4982.007224244157,0.0,6193911.990755675,3765387632.012797,5872.0374232530685,0.0,3975.743419833289
1,norne,143.0,0.2431397652396146,436.84987637876344,172.41,16962000.0,3808.914682344148,1.1181738906204166,0.0005967514498734,1479.9127968245805,77091.11484165164,46945.24758864471,0.0,8352463.009765334,5079854334.949514,7987.88308409176,0.0,3926.955624816656
