sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi
1,norne,1.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3076783683222364,0.0008470741780163476,606.8630180860553,27488.70275367882,16773.37413499897,0.0,27488.70275367882,16773374.134998968,28.55221057922726,0.0,3941.0243031074583
1,norne,4.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3077494542238268,0.0008471557254306578,606.8676982386327,27491.804662310507,16767.82090366039,0.0,109964.11059821701,67076836.845980145,113.45362785885875,0.0,3938.277403076855
1,norne,8.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3078442354259474,0.0008472644553164046,606.8739384420693,27494.79293666559,16762.219114655105,0.0,219943.28234487938,134125713.30460057,226.61405241110205,0.0,3935.1317023811584
1,norne,16.5,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3080340458415443,0.0008473815811903762,606.8615029960695,35721.82549826895,21759.100986871636,0.0,523578.7867953787,319078078.31450945,539.8341232281816,0.0,3927.479686955914
1,norne,25.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3082238562571413,0.0008474987070643478,606.8490675500695,35728.815541878575,21747.01233502689,0.0,827273.7496133132,503927686.47298807,853.997099408876,0.0,3920.4128152368344
1,norne,41.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3086931839400047,0.0008478368768379891,606.7953440809807,48640.135535292786,29545.344915887697,0.0,1605515.8690388512,976653169.8125246,1550.2228911639684,0.0,3901.7842651904293
1,norne,56.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3093223584845033,0.0008477028251913995,606.6861850761735,71650.70493330149,43322.96483889232,0.0,2680276.4737503403,1626497633.5672426,2437.400527517656,0.0,3876.7859700037716
1,norne,87.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3107844398997603,0.0008472299972037394,605.8464804614815,106842.33746649808,64171.538945571185,0.0,5992388.812363914,3615815327.636949,6064.539262418551,0.0,3808.0045847063843
1,norne,115.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.310936013177236,0.0008465589441229145,604.5475389742201,8095.35193339314,5005.744198183229,0.0,6219059.047327309,3755976132.0785794,6209.390333627202,0.0,3807.5646203766355
1,norne,143.0,0.247,487.49,172.41,16962000.0,3625.9434499999998,1.3110875864547118,0.0008458878910420895,603.2485974869587,77782.20165761207,46768.771370478134,0.0,8396960.2760577,5065501889.367968,8586.533022827834,0.0,3766.1278591512146
